genres_1,genres_2,budget,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,keyword_6,popularity,production_companies,revenue,runtime,title,vote_average,vote_count
Adventure,Action,170000000,artificialintelligence,secretidentity,computerprogram,dystopia,computer,deception,73.79505,Walt Disney Pictures,400062763,125,TRON: Legacy,6.3,2841
Animation,Family,200000000,carrace,sequel,comedy,anthropomorphism,bestfriend,duringcreditsstinger,49.98659,Walt Disney Pictures,559852396,106,Cars 2,5.8,2033
Adventure,Action,200000000,dccomics,transformation,superhero,alien,alieninfection,magicalobject,51.872839,De Line Pictures,219851172,114,Green Lantern,5.1,2487
Animation,Family,200000000,hostage,college,toy,barbie,animation,escape,59.995418,Walt Disney Pictures,1066969703,103,Toy Story 3,7.6,4597
Action,Science Fiction,200000000,savingtheworld,artificialintelligence,prophecy,sanfrancisco,cyborg,killerrobot,71.862892,Columbia Pictures,371353001,115,Terminator Salvation,5.9,2463
Action,,190000000,carrace,speed,revenge,suspense,car,race,102.322217,Universal Pictures,1506249360,137,Furious 7,7.3,4176
Action,Drama,200000000,dystopia,apocalypse,zombie,nuclearweapons,multipleperspectives,zombieapocalypse,81.834855,Paramount Pictures,531865000,116,World War Z,6.7,5560
Action,Adventure,250000000,1970s,mutant,timetravel,marvelcomic,basedoncomicbook,superhuman,118.078691,Twentieth Century Fox Film Corporation,747862775,131,X-Men: Days of Future Past,7.5,6032
Action,Adventure,190000000,spacecraft,friendship,sequel,futuristic,space,alien,78.291018,Paramount Pictures,467365246,132,Star Trek Into Darkness,7.4,4418
Action,Family,195000000,basedonfairytale,giant,,,,,43.349855,New Line Cinema,197687603,114,Jack the Giant Slayer,5.5,2598
Drama,Romance,105000000,basedonnovel,infidelity,obsession,hope,3d,,61.196071,Village Roadshow Pictures,351040419,143,The Great Gatsby,7.3,3769
Adventure,Fantasy,150000000,persia,sandstorm,brotheragainstbrother,armageddon,regent,basedonvideogame,62.169881,Walt Disney Pictures,335154643,116,Prince of Persia: The Sands of Time,6.2,2317
Action,Science Fiction,180000000,dystopia,giantrobot,giantmonster,apocalypse,imax,duringcreditsstinger,56.523205,Legendary Pictures,407602906,131,Pacific Rim,6.7,4794
Action,Science Fiction,195000000,moon,spacecraft,traitor,bodyguard,alienplanet,basedoncartoon,28.529607,Paramount Pictures,1123746996,154,Transformers: Dark of the Moon,6.1,3299
Adventure,Action,185000000,savingtheworld,riddle,whip,treasure,mexicocity,leatherjacket,75.674458,Lucasfilm,786636033,122,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495
Adventure,Animation,175000000,tyrannosaurusrex,friends,alternatehistory,dinosaur,fear,storm,51.692953,Walt Disney Pictures,331926147,93,The Good Dinosaur,6.6,1736
Animation,Adventure,185000000,scotland,rebel,bravery,kingdom,archer,wish,125.114374,Walt Disney Pictures,538983207,93,Brave,6.7,4641
Action,Adventure,185000000,sequel,stranded,hatred,spaceopera,,,65.352913,Paramount Pictures,343471816,122,Star Trek Beyond,6.6,2568
Animation,Family,180000000,romanticcomedy,,,,,,66.390712,Walt Disney Pictures,521311860,98,WALL·E,7.8,6296
Action,Comedy,140000000,ambassador,,,,,,22.57178,New Line Cinema,258022233,91,Rush Hour 3,6.1,783
Action,Adventure,200000000,civilization,naturaldisaster,endoftheworld,disaster,apocalypse,destruction,45.274225,Columbia Pictures,769653595,158,2012,5.6,4903
Animation,Drama,200000000,holiday,basedonnovel,victorianengland,money,christmaseve,scrooge,39.744242,Walt Disney,325233863,96,A Christmas Carol,6.6,1095
Science Fiction,Fantasy,176000003,jupiter,space,womandirector,3d,interspeciesromance,,85.36908,Village Roadshow Pictures,183987723,124,Jupiter Ascending,5.2,2768
Action,Adventure,180000000,africa,feralchild,tarzan,jungle,animalattack,,42.741719,Village Roadshow Pictures,356743061,109,The Legend of Tarzan,5.5,2430
Adventure,Family,180000000,savingtheworld,witch,basedonnovel,brothersisterrelationship,selfsacrifice,winter,67.391328,Walt Disney,748806957,143,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629
Science Fiction,,178000000,mutant,supernaturalpowers,marvelcomic,superhero,basedoncomicbook,superhuman,139.272042,Twentieth Century Fox Film Corporation,543934787,144,X-Men: Apocalypse,6.4,4721
Drama,Action,185000000,dccomics,crimefighter,secretidentity,scarecrow,sadism,chaos,187.322927,DC Comics,1004558444,152,The Dark Knight,8.2,12002
Animation,Comedy,175000000,agedifference,centralandsouthamerica,balloon,animation,floatingintheair,duringcreditsstinger,92.201962,Pixar Animation Studios,735099082,96,Up,7.7,6870
Animation,Family,175000000,alien,giantrobot,duringcreditsstinger,,,,36.167578,DreamWorks Animation,381509870,94,Monsters vs Aliens,6,1423
Action,Science Fiction,140000000,middleeast,armsdealer,malibu,marvelcomic,superhero,basedoncomicbook,120.725053,Marvel Studios,585174222,126,Iron Man,7.4,8776
Adventure,Drama,170000000,library,clock,filmdirector,key,toy,boy,32.319043,Paramount Pictures,185770160,126,Hugo,7,2141
Action,Adventure,170000000,steampunk,basedontvseries,steamlocomotive,drag,,,40.748915,Todma,222104681,106,Wild Wild West,5.1,1020
Adventure,Action,145000000,,,,,,,60.034162,Universal Pictures,401128639,112,The Mummy: Tomb of the Dragon Emperor,5.2,1387
Action,Adventure,175000000,dccomics,shareduniverse,antihero,secretmission,villain,superhero,90.23792,DC Comics,745000000,123,Suicide Squad,5.9,7458
Fantasy,Comedy,175000000,fathersonrelationship,dailylife,marriedcouple,support,father,marriage,27.082182,Columbia Pictures,173000000,96,Evan Almighty,5.3,1151
Action,Science Fiction,178000000,dejavu,timewarp,restart,dystopia,war,alien,79.456485,Village Roadshow Pictures,370541256,113,Edge of Tomorrow,7.6,4858
Adventure,Action,175000000,ocean,tattoo,mutant,water,dystopia,doomsday,44.640292,Universal Pictures,264218220,135,Waterworld,5.9,992
Adventure,Action,175000000,terrorist,secret,hostage,technology,warhead,government,32.852443,Paramount Pictures,302469017,118,G.I. Joe: The Rise of Cobra,5.6,1962
Drama,Comedy,175000000,dream,cartoon,imaginaryfriend,animation,family,moving,128.655964,Walt Disney Pictures,857611174,94,Inside Out,8,6560
Family,Adventure,175000000,basedonnovel,snake,wolf,elephant,tiger,feralchild,94.199316,Walt Disney Pictures,966550600,106,The Jungle Book,6.7,2892
Adventure,Action,200000000,malibu,marvelcomic,superhero,basedoncomicbook,revenge,aftercreditsstinger,77.300194,Marvel Studios,623933331,124,Iron Man 2,6.6,6849
Adventure,Fantasy,170000000,queen,magic,fairytale,immortality,forest,deception,77.178973,Universal Pictures,396600000,127,Snow White and the Huntsman,5.8,3118
Fantasy,Adventure,180000000,fairytale,villain,sleepingbeauty,darkfantasy,basedonfairytale,adaptation,110.620647,Walt Disney Pictures,758539785,97,Maleficent,7,4496
Science Fiction,Action,170000000,leader,colony,post-apocalyptic,dystopia,forest,sequel,243.791743,Ingenious Media,710644566,130,Dawn of the Planet of the Apes,7.3,4410
Action,Adventure,27000000,,,,,,,2.418535,Corsan,0,109,The Lovers,4.8,34
Drama,Action,175000000,japan,suicide,samurai,basedontruestory,samuraisword,ronin,41.796339,Mid Atlantic Films,150962475,119,47 Ronin,5.9,1326
Action,Adventure,170000000,washingtond.c.,future,shield,marvelcomic,superhero,basedoncomicbook,72.225265,Marvel Studios,714766572,136,Captain America: The Winter Soldier,7.6,5764
Comedy,Adventure,165000000,ogre,3d,,,,,44.041186,DreamWorks Animation,752600867,93,Shrek Forever After,6,1959
Adventure,Family,190000000,inventor,apocalypse,destiny,imax,dreamer,futuristiccar,130.311355,Walt Disney Pictures,209154322,130,Tomorrowland,6.2,2846
Adventure,Family,165000000,brotherbrotherrelationship,hero,talent,revenge,bestfriend,anotherdimension,203.73459,Walt Disney Pictures,652105443,102,Big Hero 6,7.8,6135
Family,Animation,165000000,supportgroup,productplacement,bullying,racing,arcade,medal,62.341073,Walt Disney Animation Studios,471222889,108,Wreck-It Ralph,7.1,4570
Adventure,Animation,165000000,santaclaus,nerd,faith,gift,bell,beard,47.323228,Golden Mean,305875730,100,The Polar Express,6.4,1474
Action,Adventure,165000000,alternatehistory,alieninvasion,,,,,48.775723,Twentieth Century Fox Film Corporation,389681935,120,Independence Day: Resurgence,4.9,2491
Fantasy,Adventure,165000000,flying,blacksmith,arena,island,night,ship,67.263269,DreamWorks Animation,494878759,98,How to Train Your Dragon,7.5,4227
Action,Thriller,200000000,savingtheworld,artificialintelligence,manvsmachine,cyborg,killerrobot,sunglasses,69.405188,Columbia Pictures,435000000,109,Terminator 3: Rise of the Machines,5.9,2143
Action,Science Fiction,170000000,marvelcomic,spaceship,space,outerspace,orphan,adventurer,481.098624,Marvel Studios,773328629,121,Guardians of the Galaxy,7.9,9742
Adventure,Drama,165000000,savingtheworld,artificialintelligence,fathersonrelationship,singleparent,nasa,expedition,724.247784,Paramount Pictures,675120017,169,Interstellar,8.1,10867
Action,Thriller,160000000,lossoflover,dream,kidnapping,sleep,subconsciousness,heist,167.58371,Legendary Pictures,825532764,148,Inception,8.1,13752
Action,Adventure,15000000,monster,godzilla,giantmonster,destruction,kaiju,toyko,9.476999,Cine Bazar,77000000,120,Shin Godzilla,6.5,143
Adventure,Fantasy,250000000,riddle,elves,dwarves,orcs,middle-earth(tolkien),hobbit,108.849621,WingNut Films,1021103568,169,The Hobbit: An Unexpected Journey,7,8297
Action,Crime,38000000,streetgang,carrace,undercover,auto-tuning,losangeles,car,6.909942,Universal Pictures,207283925,106,The Fast and the Furious,6.6,3428
Fantasy,Drama,150000000,diary,navy,funeral,tea,travel,hospital,60.269279,Paramount Pictures,333932083,166,The Curious Case of Benjamin Button,7.3,3292
Action,Science Fiction,160000000,cia,mutant,mine,marvelcomic,superhero,basedoncomicbook,3.195174,Ingenious Film Partners,353624124,132,X-Men: First Class,7.1,5181
Action,Adventure,160000000,revolution,strongwoman,dystopia,gameofdeath,3d,basedonyoungadultnovel,127.284427,Studio Babelsberg,653428261,137,The Hunger Games: Mockingjay - Part 2,6.6,3984
Fantasy,Adventure,150000000,witch,fire,wolf,fountain,magic,book,35.580815,Walt Disney Pictures,215283742,109,The Sorcerer's Apprentice,5.8,1470
Adventure,Action,160000000,newyear'seve,fire,drowning,cataclysm,lossoffather,atlanticocean,21.133748,Virtual Studios,181674817,99,Poseidon,5.5,583
Fantasy,,170000000,basedonnovel,clock,queen,sequel,aliceinwonderland,darkfantasy,56.268916,Walt Disney Pictures,299370084,113,Alice Through the Looking Glass,6.5,1725
Fantasy,Adventure,160000000,ambush,sadness,stage,liberationofprisoners,island,traitor,42.986467,DreamWorks SKG,798958165,93,Shrek the Third,6,2278
Action,Adventure,160000000,videogame,elves,orcs,magic,chase,basedoncomicbook,63.148529,Universal Pictures,433677183,123,Warcraft,6.3,2268
Science Fiction,Action,155000000,savingtheworld,artificialintelligence,cyborg,killerrobot,future,timetravel,202.042635,Paramount Pictures,440603537,126,Terminator Genisys,5.8,3631
Adventure,Family,155000000,basedonnovel,magic,goodvsevil,king,narnia,fantasyworld,49.661984,Dune Entertainment,415686217,113,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514
History,Romance,140000000,nurse,patriotism,hawaii,worldwarii,pilot,pearlharbor,34.20669,Jerry Bruckheimer Films,449220945,183,Pearl Harbor,6.6,1791
Adventure,Science Fiction,150000000,destroy,transformation,alien,basedontoy,transformers,robot,25.468493,Paramount Pictures,709709780,144,Transformers,6.6,4040
War,History,155000000,aristotle,egypt,greece,persia,elephant,campaign,39.019229,France 3 Cin\u00e9ma,167298192,175,Alexander,5.6,927
Adventure,Fantasy,150000000,prophecy,witch,lossoflover,magic,cuttingthecord,childhero,78.144395,Warner Bros.,938212738,138,Harry Potter and the Order of the Phoenix,7.4,5494
Adventure,Fantasy,150000000,magic,dyinganddeath,broom,sorcerer'sapprentice,schoolofwitchcraft,chosenone,101.250416,Patalex IV Productions Limited,895921036,157,Harry Potter and the Goblet of Fire,7.5,5608
Fantasy,Action,150000000,flying,alcohol,loveofone'slife,forbiddenlove,lovers,affection,56.758411,Columbia Pictures,624029371,92,Hancock,6.2,2961
Drama,Horror,150000000,savingtheworld,lostcivilisation,post-apocalyptic,dystopia,matteroflifeanddeath,alone,70.867401,Village Roadshow Pictures,585349010,101,I Am Legend,6.9,4853
Adventure,Comedy,150000000,londonengland,fathersonrelationship,chocolate,factoryworker,basedonnovel,parentskidsrelationship,53.905592,Village Roadshow Pictures,474968763,115,Charlie and the Chocolate Factory,6.7,3624
Animation,Comedy,150000000,paris,brotherbrotherrelationship,expensiverestaurant,river,cook,mouse,65.677399,Walt Disney Pictures,623722818,111,Ratatouille,7.5,4369
Action,Crime,150000000,himalaya,martialarts,dccomics,crimefighter,secretidentity,undercover,115.040024,DC Comics,374218673,140,Batman Begins,7.5,7359
Family,Animation,150000000,africa,jealousy,dance,hunger,lion,zoo,44.141021,DreamWorks Animation,603900354,89,Madagascar: Escape 2 Africa,6.2,1810
Adventure,Fantasy,150000000,museum,theodoreroosevelt,duringcreditsstinger,ameliaearhart,smithsonian,,81.781591,Twentieth Century Fox Film Corporation,413106170,105,Night at the Museum: Battle of the Smithsonian,5.9,1971
Adventure,Action,150000000,corruption,mutant,boxer,army,marvelcomic,superhero,5.954334,Ingenious Film Partners,373062864,107,X-Men Origins: Wolverine,6.2,4021
Adventure,Action,150000000,savingtheworld,artificialintelligence,manvsmachine,flying,philosophy,fortuneteller,73.313918,Village Roadshow Pictures,424988211,129,The Matrix Revolutions,6.4,3096
Animation,Adventure,150000000,queen,musical,princess,betrayal,snowman,animation,165.125366,Walt Disney Pictures,1274219009,102,Frozen,7.3,5295
Adventure,Action,150000000,savingtheworld,artificialintelligence,manvsmachine,martialarts,kungfu,undergroundworld,70.78591,Village Roadshow Pictures,738599701,138,The Matrix Reloaded,6.7,3443
Action,Adventure,170000000,marvelcomic,superhero,basedoncomicbook,hostiletakeover,norsemythology,aftercreditsstinger,99.499595,Marvel Studios,644571402,112,Thor: The Dark World,6.8,4755
Action,Adventure,150000000,future,chase,post-apocalyptic,dystopia,australia,rescue,434.278564,Village Roadshow Pictures,378858340,120,Mad Max: Fury Road,7.2,9427
Thriller,Mystery,150000000,rome,vatican,basedonnovel,symbolism,christian,illuminati,67.447636,Columbia Pictures,356613439,138,Angels & Demons,6.5,2129
Adventure,Fantasy,150000000,newmexico,banishment,shield,marvelcomic,hammer,superhero,86.493424,Marvel Studios,449326618,115,Thor,6.6,6525
Animation,Family,150000000,hamster,kidsandfamily,animal,catvsdog,duringcreditsstinger,dogcatfriendship,41.845878,Walt Disney Animation Studios,309979994,98,Bolt,6.3,1750
Fantasy,Action,150000000,dyr,duringcreditsstinger,,,,,26.710398,Walt Disney Pictures,292817841,88,G-Force,5.1,510
Adventure,,150000000,underworld,hades,mythology,greekmythology,zeus,perseus,44.927635,Legendary Pictures,301000000,99,Wrath of the Titans,5.5,1431
Comedy,Fantasy,150000000,witch,imprisonment,vampire,curse,fishoutofwater,chains,50.306728,Village Roadshow Pictures,245527149,113,Dark Shadows,5.7,2320
Action,Adventure,150000000,londonengland,spy,austria,villain,sequel,mission,114.522237,Paramount Pictures,682330139,131,Mission: Impossible - Rogue Nation,7.1,3224
Drama,Horror,150000000,fathersonrelationship,victorianengland,remake,ruralsetting,werewolf,,21.214571,Universal Pictures,0,102,The Wolfman,5.5,549
Family,Animation,150000000,factoryworker,tennis,flower,florist,flowershop,pilot,29.332905,Pacific Data Images (PDI),287594577,91,Bee Movie,5.7,1171
Animation,Family,150000000,martialarts,hope,fleet,panda,mission,womandirector,51.247321,DreamWorks Animation,665692281,91,Kung Fu Panda 2,6.7,1880
Action,Adventure,150000000,fire,ice,warship,prince,kingdom,water,33.769336,Paramount Pictures,318502923,103,The Last Airbender,4.7,1151
Adventure,Action,150000000,berlin,cia,vatican,whitehouse,secretidentity,secret,63.079003,Paramount Pictures,397850012,126,Mission: Impossible III,6.5,2028
Action,Drama,150000000,usapresident,conspiracy,secretservice,thewhitehouse,,,39.004588,Columbia Pictures,205366737,131,White House Down,6.4,1891
Adventure,Animation,150000000,boy,alien,rescue,martian,alienabduction,alieninvasion,12.362599,Walt Disney Animation Studios,38992758,88,Mars Needs Moms,5.5,199
Adventure,Animation,149000000,londonengland,underworld,return,ship,frog,girlfriend,22.550135,Aardman Animations,64459316,85,Flushed Away,6,874
Adventure,Family,150000000,flying,magic,fairytale,peterpan,mermaid,pirate,48.03528,Warner Bros.,128388320,111,Pan,5.9,954
Animation,Adventure,145000000,fathersonrelationship,egypt,intelligence,adoption,timetravel,boy,38.73494,Pacific Data Images (PDI),272912430,92,Mr. Peabody & Sherman,6.7,843
Adventure,Drama,175000000,brotherbrotherrelationship,adultery,mythology,beauty,trojanwar,bravery,66.803149,Plan B Entertainment,497409852,163,Troy,6.9,2759
Animation,Family,145000000,madagascar,3d,,,,,44.989192,DreamWorks Animation,746921274,93,Madagascar 3: Europe's Most Wanted,6.4,1808
Adventure,Action,140000000,laser,britishsecretservice,secretserviceagent,spacebasedweapon,,,54.159392,Eon Productions,431971116,133,Die Another Day,5.8,1092
Action,Fantasy,144000000,femalefriendship,ghosthunting,reboot,ghost,,,66.21806,Columbia Pictures,229147509,116,Ghostbusters,5.3,2142
Action,Thriller,140000000,savingtheworld,paris,moon,cataclysm,asteroid,selfsacrifice,58.485967,Jerry Bruckheimer Films,553799566,151,Armageddon,6.4,2482
Action,Adventure,140000000,savingtheworld,secretidentity,sunglasses,undercover,spacemarine,illegalimmigration,91.332849,Columbia Pictures,441818803,88,Men in Black II,6,3114
Adventure,Action,70000000,denmark,nordicmythology,lie,prideandvanity,folkhero,humanweakness,35.601665,Paramount Pictures,195735876,115,Beowulf,5.5,841
Action,Adventure,145000000,china,martialarts,kungfu,village,panda,sequel,56.747978,Twentieth Century Fox Film Corporation,521170825,95,Kung Fu Panda 3,6.7,1603
Action,Thriller,145000000,fight,sequel,mission,explosion,brokenarm,imax,77.77477,Paramount Pictures,694713380,133,Mission: Impossible - Ghost Protocol,6.8,3972
Fantasy,Animation,145000000,dream,santaclaus,nightmare,easterbunny,toothfairy,jackfrost,61.788035,DreamWorks Animation,306941670,97,Rise of the Guardians,7.1,1922
Comedy,,100000000,basedonnovel,desperation,robber,hold-uprobbery,remake,suburbia,25.159168,Imagine Entertainment,202026112,90,Fun with Dick and Jane,5.9,627
Drama,Action,140000000,japan,warcrimes,senseofguilt,swordplay,general,samurai,52.341226,Cruise/Wagner Productions,456758981,154,The Last Samurai,7.3,1895
Adventure,Drama,140000000,moses,bible,ancientegypt,3d,ramses,,101.599427,Scott Free Productions,268031828,150,Exodus: Gods and Kings,5.6,1921
Science Fiction,Action,150000000,spacecraft,teleportation,spacemission,parachute,timetravel,blackhole,73.616808,Paramount Pictures,385680446,127,Star Trek,7.4,4518
Fantasy,Action,139000000,lossoflover,spider,thanksgiving,badboss,hostility,marvelcomic,82.502566,Columbia Pictures,821708551,121,Spider-Man,6.8,5265
Fantasy,Action,145000000,fathersonrelationship,wifehusbandrelationship,sacrifice,viking,sequel,rescue,100.21391,DreamWorks Animation,609123048,102,How to Train Your Dragon 2,7.6,3106
Fantasy,,140000000,egypt,underworld,fight,mythology,nile,war,56.257249,Summit Entertainment,150680864,127,Gods of Egypt,5.3,1277
Action,,135000000,artificialintelligence,u.s.navy,aftercreditsstinger,,,,17.88953,Laura Ziskin Productions,76932943,121,Stealth,4.9,331
Action,Mystery,130000000,dccomics,secretidentity,massmurder,retirement,basedoncomicbook,conspiracy,64.798873,Paramount Pictures,185258983,163,Watchmen,7,2811
Action,Adventure,140000000,lapd,houseonfire,revolver,,,,24.855701,Silver Pictures,285444603,127,Lethal Weapon 4,6.3,767
Drama,Action,137000000,california,sanfrancisco,monster,general,gun,dna,34.981698,Universal Pictures,245360480,138,Hulk,5.3,1533
Adventure,Action,130000000,terror,assassin,secret,technology,missile,warhead,59.325589,Paramount Pictures,371876278,110,G.I. Joe: Retaliation,5.4,3025
Action,Adventure,130000000,tyrant,ironcladship,,,,,21.605568,Paramount Pictures,119269486,124,Sahara,5.7,434
Adventure,Action,137000000,battleassignment,dystopia,alien,downfall,scientist,basedonvideogame,26.074908,Columbia Pictures,85131830,106,Final Fantasy: The Spirits Within,5.9,433
Action,Adventure,140000000,newyork,usa,worldwarii,nazis,marvelcomic,superhero,74.506246,Marvel Studios,370569774,124,Captain America: The First Avenger,6.6,7047
Adventure,Action,135000000,british,mission,oil,heiress,bilbaospain,britishsecretservice,39.604363,Eon Productions,361832400,128,The World Is Not Enough,6,862
Adventure,,150000000,naturalist,frigate,selfsurgery,seabattle,weevil,,36.973031,Universal Pictures,212011111,138,Master and Commander: The Far Side of the World,6.9,790
Adventure,Fantasy,120000000,vampire,romance,villainess,superstrength,imprinting,crossbreed,99.687084,Summit Entertainment,829000000,115,The Twilight Saga: Breaking Dawn - Part 2,6.1,2553
Animation,Comedy,130000000,penguin,musical,aftercreditsstinger,3d,,,17.7735,Village Roadshow Pictures,150406466,100,Happy Feet Two,5.8,373
Science Fiction,Action,150000000,newyork,riodejaneiro,marvelcomic,superhero,basedoncomicbook,ontherun,62.898336,Universal Pictures,163712074,114,The Incredible Hulk,6.1,3021
Adventure,Family,140000000,londonengland,england,basedonnovel,queen,littlegirl,orphan,44.19092,Walt Disney Pictures,183345589,120,The BFG,6,1000
